ProductID,ProductName,Category,SubCategory,UnitPrice,COGS
PROD0001,Re-Intermediate Cutting-Edge Eyeballs,Furniture,Tables,537.86,273.67
PROD0002,Leverage Value-Added E-Tailers,Technology,Copiers,469.12,286.59
PROD0003,Incentivize Best-Of-Breed Content,Technology,Machines,155.62,83.94
PROD0004,Target Bleeding-Edge Schemas,Technology,Accessories,971.73,535.55
PROD0005,Exploit Mission-Critical Functionalities,Furniture,Chairs,31.18,20.53
PROD0006,Integrate Distributed Info-Mediaries,Furniture,Furnishings,371.68,258.23
PROD0007,Synergize Wireless Architectures,Technology,Phones,194.67,102.45
PROD0008,Deploy Customized Synergies,Technology,Machines,707.87,372.35
PROD0009,Iterate User-Centric Architectures,Furniture,Chairs,511.75,358.02
PROD0010,Empower Interactive Systems,Office Supplies,Binders,265.13,210.2
PROD0011,Iterate Holistic E-Commerce,Office Supplies,Art,63.51,42.61
PROD0012,Expedite Front-End E-Services,Technology,Copiers,286.97,170.51
PROD0013,Mesh Bleeding-Edge Solutions,Furniture,Bookcases,883.85,725.62
PROD0014,Embrace Virtual Communities,Technology,Copiers,358.42,246.61
PROD0015,Incentivize Seamless Vortals,Furniture,Furnishings,340.71,253.35
PROD0016,Iterate Scalable Content,Furniture,Bookcases,519.49,321.48
PROD0017,Extend Web-Enabled Bandwidth,Technology,Machines,358.59,196.06
PROD0018,Utilize Web-Enabled Markets,Technology,Copiers,163.29,96.67
PROD0019,Unleash Dot-Com Deliverables,Technology,Copiers,390.53,349.54
PROD0020,Engage Mission-Critical Action-Items,Furniture,Furnishings,527.47,389.69
PROD0021,Strategize Mission-Critical Users,Furniture,Bookcases,348.06,189.21
PROD0022,Benchmark Granular Schemas,Technology,Phones,239.8,152.62
PROD0023,Syndicate Best-Of-Breed Mindshare,Office Supplies,Labels,729.22,573.61
PROD0024,Transition World-Class Web-Readiness,Furniture,Chairs,92.08,81.83
PROD0025,Drive Out-Of-The-Box Convergence,Office Supplies,Paper,898.77,585.25
PROD0026,Incubate B2C E-Tailers,Office Supplies,Binders,800.37,642.22
